text,label
CT scan shows bilateral interstitial lung involvement.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Sharp chest pain with high fever and productive cough was noted.,1
I have mild mild cough but no fever or breathing difficulty.,0
Symptoms started after flu-like illness with worsening breathlessness.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I had a cold with nasal congestion but recovered without complications.,0
I have low grade fever with dry cough and shortness of breath for more than two weeks.,2
"I feel unwell with runny nose, but no chest pain or shortness of breath.",0
I have moderate symptoms with purulent sputum and oxygen saturation below normal.,1
I have acute presentation with purulent sputum and normal oxygen saturation.,1
I have high fever with chills and productive cough producing yellow sputum for over a week.,1
I have moderate symptoms with purulent sputum and oxygen saturation below normal.,1
"I am experiencing body aches and fatigue, but chest X-ray is normal.",0
Blood tests suggest bacterial infection along with lung consolidation.,1
I have acute presentation with dry cough and low SpO2 readings.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
There is severe chest pain with localized lung consolidation and high fever.,1
I have high fever with chills and productive cough producing yellow sputum for the past two days.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
"I feel tired with headache, but oxygen levels are normal.",0
I had a cold with seasonal allergies but recovered without complications.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
I have progressively worsening with purulent sputum and reduced oxygen levels.,1
"I feel tired with body aches, but oxygen levels are normal.",0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
CT scan shows bilateral interstitial lung involvement.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
Sharp chest pain with high fever and productive cough was noted.,1
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
I have acute presentation with purulent sputum and reduced oxygen levels.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
"I feel tired with nasal congestion, but oxygen levels are normal.",0
I have high fever with chills and productive cough producing yellow sputum for more than two weeks.,1
I have acute presentation with purulent sputum and reduced oxygen levels.,1
"I feel tired with mild cough, but oxygen levels are normal.",0
"I feel tired with seasonal allergies, but oxygen levels are normal.",0
There is severe chest pain with localized lung consolidation and high fever.,1
Chest X-ray shows lobar consolidation with productive cough and fever.,1
Symptoms progressed gradually with mild fever and breathlessness.,2
CT scan shows bilateral interstitial lung involvement.,2
I have low grade fever with dry cough and shortness of breath for several days.,2
I had a cold with seasonal allergies but recovered without complications.,0
CT scan shows bilateral interstitial lung involvement.,2
"I feel unwell with runny nose, but no chest pain or shortness of breath.",0
I had a cold with seasonal allergies but recovered without complications.,0
I developed breathing difficulty following a viral illness.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
I have high fever with chills and productive cough producing yellow sputum for several days.,1
"I am experiencing throat irritation and fatigue, but chest X-ray is normal.",0
There is severe chest pain with localized lung consolidation and high fever.,1
I have severe condition with purulent sputum and normal oxygen saturation.,1
"I feel tired with nasal congestion, but oxygen levels are normal.",0
I have progressively worsening with dry cough and oxygen saturation below normal.,2
I have moderate symptoms with dry cough and oxygen saturation below normal.,2
There is occasional cough due to allergy but no lung infection.,0
"I feel tired with body aches, but oxygen levels are normal.",0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
Sharp chest pain with high fever and productive cough was noted.,1
I developed breathing difficulty following a viral illness.,2
I have mild body aches but no fever or breathing difficulty.,0
CT scan shows bilateral interstitial lung involvement.,2
There is occasional cough due to allergy but no lung infection.,0
I have mild seasonal allergies but no fever or breathing difficulty.,0
I developed breathing difficulty following a viral illness.,2
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I developed breathing difficulty following a viral illness.,2
Routine checkup shows no signs of pneumonia despite mild cough.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
"I feel tired with mild cough, but oxygen levels are normal.",0
I developed breathing difficulty following a viral illness.,2
"I am experiencing body aches and fatigue, but chest X-ray is normal.",0
There is severe chest pain with localized lung consolidation and high fever.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Symptoms progressed gradually with mild fever and breathlessness.,2
I had a cold with headache but recovered without complications.,0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I have mild throat irritation but no fever or breathing difficulty.,0
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
There is severe chest pain with localized lung consolidation and high fever.,1
I have severe condition with purulent sputum and low SpO2 readings.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
I had a cold with nasal congestion but recovered without complications.,0
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
"I feel unwell with body aches, but no chest pain or shortness of breath.",0
I have high fever with chills and productive cough producing yellow sputum for several days.,1
I have high fever with chills and productive cough producing yellow sputum for nearly ten days.,1
CT scan shows bilateral interstitial lung involvement.,2
I have acute presentation with purulent sputum and reduced oxygen levels.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
"I feel unwell with headache, but no chest pain or shortness of breath.",0
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Symptoms started after flu-like illness with worsening breathlessness.,2
"I feel unwell with headache, but no chest pain or shortness of breath.",0
Sharp chest pain with high fever and productive cough was noted.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
I have mild runny nose but no fever or breathing difficulty.,0
"I feel tired with body aches, but oxygen levels are normal.",0
"I feel unwell with nasal congestion, but no chest pain or shortness of breath.",0
Blood tests suggest bacterial infection along with lung consolidation.,1
"I feel unwell with seasonal allergies, but no chest pain or shortness of breath.",0
"I am experiencing nasal congestion and fatigue, but chest X-ray is normal.",0
Symptoms started after flu-like illness with worsening breathlessness.,2
CT scan shows bilateral interstitial lung involvement.,2
"I feel unwell with body aches, but no chest pain or shortness of breath.",0
"I am experiencing headache and fatigue, but chest X-ray is normal.",0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
"I feel unwell with body aches, but no chest pain or shortness of breath.",0
Blood tests suggest bacterial infection along with lung consolidation.,1
I had a cold with seasonal allergies but recovered without complications.,0
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
I had a cold with throat irritation but recovered without complications.,0
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Routine checkup shows no signs of pneumonia despite headache.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
There is severe chest pain with localized lung consolidation and high fever.,1
I have low grade fever with dry cough and shortness of breath for the past two days.,2
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I developed breathing difficulty following a viral illness.,2
I have moderate symptoms with dry cough and low SpO2 readings.,2
"I feel tired with body aches, but oxygen levels are normal.",0
I have high fever with chills and productive cough producing yellow sputum for the past two days.,1
I developed breathing difficulty following a viral illness.,2
Sharp chest pain with high fever and productive cough was noted.,1
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
I have mild mild cough but no fever or breathing difficulty.,0
Routine checkup shows no signs of pneumonia despite mild cough.,0
Routine checkup shows no signs of pneumonia despite body aches.,0
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
Routine checkup shows no signs of pneumonia despite nasal congestion.,0
There is occasional cough due to allergy but no lung infection.,0
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
There is severe chest pain with localized lung consolidation and high fever.,1
"I am experiencing mild cough and fatigue, but chest X-ray is normal.",0
There is occasional cough due to allergy but no lung infection.,0
I have low grade fever with dry cough and shortness of breath for over a week.,2
There is severe chest pain with localized lung consolidation and high fever.,1
There is occasional cough due to allergy but no lung infection.,0
I developed breathing difficulty following a viral illness.,2
CT scan shows bilateral interstitial lung involvement.,2
Symptoms started after flu-like illness with worsening breathlessness.,2
Sharp chest pain with high fever and productive cough was noted.,1
"I am experiencing headache and fatigue, but chest X-ray is normal.",0
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I developed breathing difficulty following a viral illness.,2
"I feel tired with nasal congestion, but oxygen levels are normal.",0
There is severe chest pain with localized lung consolidation and high fever.,1
I have mild seasonal allergies but no fever or breathing difficulty.,0
There is occasional cough due to allergy but no lung infection.,0
There is severe chest pain with localized lung consolidation and high fever.,1
I developed breathing difficulty following a viral illness.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
Routine checkup shows no signs of pneumonia despite seasonal allergies.,0
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
I have moderate symptoms with purulent sputum and normal oxygen saturation.,1
CT scan shows bilateral interstitial lung involvement.,2
"I am experiencing mild cough and fatigue, but chest X-ray is normal.",0
Chest imaging shows interstitial infiltrates with dry cough.,2
I have mild symptoms with dry cough and reduced oxygen levels.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
CT scan shows bilateral interstitial lung involvement.,2
"I feel unwell with seasonal allergies, but no chest pain or shortness of breath.",0
CT scan shows bilateral interstitial lung involvement.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I had a cold with mild cough but recovered without complications.,0
CT scan shows bilateral interstitial lung involvement.,2
I had a cold with throat irritation but recovered without complications.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
CT scan shows bilateral interstitial lung involvement.,2
"I feel unwell with seasonal allergies, but no chest pain or shortness of breath.",0
There is occasional cough due to allergy but no lung infection.,0
"I feel tired with seasonal allergies, but oxygen levels are normal.",0
I have high fever with chills and productive cough producing yellow sputum for the past two days.,1
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
CT scan shows bilateral interstitial lung involvement.,2
There is occasional cough due to allergy but no lung infection.,0
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
There is occasional cough due to allergy but no lung infection.,0
I have progressively worsening with dry cough and normal oxygen saturation.,2
I have high fever with chills and productive cough producing yellow sputum for several days.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
There is severe chest pain with localized lung consolidation and high fever.,1
"I feel tired with throat irritation, but oxygen levels are normal.",0
"I am experiencing throat irritation and fatigue, but chest X-ray is normal.",0
"I feel tired with runny nose, but oxygen levels are normal.",0
I had a cold with throat irritation but recovered without complications.,0
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
"I feel tired with seasonal allergies, but oxygen levels are normal.",0
I have mild symptoms with purulent sputum and normal oxygen saturation.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
I have high fever with chills and productive cough producing yellow sputum for the past two days.,1
There is occasional cough due to allergy but no lung infection.,0
Blood tests suggest bacterial infection along with lung consolidation.,1
I have high fever with chills and productive cough producing yellow sputum for nearly ten days.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
There is severe chest pain with localized lung consolidation and high fever.,1
I have severe condition with purulent sputum and reduced oxygen levels.,1
I have severe condition with purulent sputum and reduced oxygen levels.,1
I developed breathing difficulty following a viral illness.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
"I feel unwell with runny nose, but no chest pain or shortness of breath.",0
CT scan shows bilateral interstitial lung involvement.,2
I have acute presentation with dry cough and low SpO2 readings.,2
I have severe condition with dry cough and reduced oxygen levels.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Symptoms started after flu-like illness with worsening breathlessness.,2
I have mild seasonal allergies but no fever or breathing difficulty.,0
I have mild symptoms with dry cough and normal oxygen saturation.,2
"I feel unwell with mild cough, but no chest pain or shortness of breath.",0
Routine checkup shows no signs of pneumonia despite body aches.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
Sharp chest pain with high fever and productive cough was noted.,1
"I am experiencing mild cough and fatigue, but chest X-ray is normal.",0
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
"I feel tired with runny nose, but oxygen levels are normal.",0
I have mild nasal congestion but no fever or breathing difficulty.,0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I have moderate symptoms with dry cough and reduced oxygen levels.,2
I have mild seasonal allergies but no fever or breathing difficulty.,0
"I feel tired with body aches, but oxygen levels are normal.",0
Symptoms started after flu-like illness with worsening breathlessness.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
Sharp chest pain with high fever and productive cough was noted.,1
I have high fever with chills and productive cough producing yellow sputum for more than two weeks.,1
I developed breathing difficulty following a viral illness.,2
I have progressively worsening with purulent sputum and normal oxygen saturation.,1
There is occasional cough due to allergy but no lung infection.,0
Sharp chest pain with high fever and productive cough was noted.,1
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
Sharp chest pain with high fever and productive cough was noted.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
I have severe condition with dry cough and normal oxygen saturation.,2
"I feel tired with body aches, but oxygen levels are normal.",0
Chest imaging shows interstitial infiltrates with dry cough.,2
I have severe condition with purulent sputum and low SpO2 readings.,1
CT scan shows bilateral interstitial lung involvement.,2
"I feel tired with mild cough, but oxygen levels are normal.",0
Symptoms started after flu-like illness with worsening breathlessness.,2
I have mild symptoms with dry cough and oxygen saturation below normal.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Routine checkup shows no signs of pneumonia despite throat irritation.,0
I have mild throat irritation but no fever or breathing difficulty.,0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I developed breathing difficulty following a viral illness.,2
CT scan shows bilateral interstitial lung involvement.,2
Symptoms started after flu-like illness with worsening breathlessness.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
"I am experiencing headache and fatigue, but chest X-ray is normal.",0
I have moderate symptoms with dry cough and low SpO2 readings.,2
There is occasional cough due to allergy but no lung infection.,0
I have mild mild cough but no fever or breathing difficulty.,0
Symptoms progressed gradually with mild fever and breathlessness.,2
I have mild seasonal allergies but no fever or breathing difficulty.,0
I have severe condition with dry cough and normal oxygen saturation.,2
I have progressively worsening with purulent sputum and oxygen saturation below normal.,1
"I feel unwell with mild cough, but no chest pain or shortness of breath.",0
I have progressively worsening with dry cough and oxygen saturation below normal.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
I had a cold with headache but recovered without complications.,0
Blood tests suggest bacterial infection along with lung consolidation.,1
I have severe condition with dry cough and low SpO2 readings.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
I had a cold with runny nose but recovered without complications.,0
Sharp chest pain with high fever and productive cough was noted.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
There is severe chest pain with localized lung consolidation and high fever.,1
I have low grade fever with dry cough and shortness of breath for more than two weeks.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
CT scan shows bilateral interstitial lung involvement.,2
There is occasional cough due to allergy but no lung infection.,0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I had a cold with nasal congestion but recovered without complications.,0
There is severe chest pain with localized lung consolidation and high fever.,1
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
"I feel tired with headache, but oxygen levels are normal.",0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
"I am experiencing body aches and fatigue, but chest X-ray is normal.",0
I had a cold with headache but recovered without complications.,0
CT scan shows bilateral interstitial lung involvement.,2
I have mild mild cough but no fever or breathing difficulty.,0
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
"I feel tired with throat irritation, but oxygen levels are normal.",0
"I feel tired with throat irritation, but oxygen levels are normal.",0
I have severe condition with purulent sputum and reduced oxygen levels.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
I developed breathing difficulty following a viral illness.,2
I have mild headache but no fever or breathing difficulty.,0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
There is occasional cough due to allergy but no lung infection.,0
Symptoms progressed gradually with mild fever and breathlessness.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
There is severe chest pain with localized lung consolidation and high fever.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
There is occasional cough due to allergy but no lung infection.,0
I have low grade fever with dry cough and shortness of breath for several days.,2
I have low grade fever with dry cough and shortness of breath for the past two days.,2
CT scan shows bilateral interstitial lung involvement.,2
There is occasional cough due to allergy but no lung infection.,0
I have low grade fever with dry cough and shortness of breath for several days.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
I have low grade fever with dry cough and shortness of breath for more than two weeks.,2
I have mild nasal congestion but no fever or breathing difficulty.,0
There is severe chest pain with localized lung consolidation and high fever.,1
I have mild runny nose but no fever or breathing difficulty.,0
CT scan shows bilateral interstitial lung involvement.,2
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
Chest X-ray shows lobar consolidation with productive cough and fever.,1
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I have progressively worsening with dry cough and low SpO2 readings.,2
I had a cold with nasal congestion but recovered without complications.,0
Symptoms progressed gradually with mild fever and breathlessness.,2
"I am experiencing nasal congestion and fatigue, but chest X-ray is normal.",0
"I am experiencing seasonal allergies and fatigue, but chest X-ray is normal.",0
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
I have moderate symptoms with dry cough and normal oxygen saturation.,2
I have mild headache but no fever or breathing difficulty.,0
I have high fever with chills and productive cough producing yellow sputum for nearly ten days.,1
I had a cold with mild cough but recovered without complications.,0
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
"I am experiencing runny nose and fatigue, but chest X-ray is normal.",0
Chest imaging shows interstitial infiltrates with dry cough.,2
I had a cold with seasonal allergies but recovered without complications.,0
"I am experiencing nasal congestion and fatigue, but chest X-ray is normal.",0
I have high fever with chills and productive cough producing yellow sputum for over a week.,1
Routine checkup shows no signs of pneumonia despite body aches.,0
I have low grade fever with dry cough and shortness of breath for more than two weeks.,2
There is occasional cough due to allergy but no lung infection.,0
I had a cold with body aches but recovered without complications.,0
Blood tests suggest bacterial infection along with lung consolidation.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
I had a cold with throat irritation but recovered without complications.,0
Routine checkup shows no signs of pneumonia despite mild cough.,0
I have mild symptoms with dry cough and normal oxygen saturation.,2
I had a cold with throat irritation but recovered without complications.,0
There is severe chest pain with localized lung consolidation and high fever.,1
I have mild body aches but no fever or breathing difficulty.,0
"I feel unwell with throat irritation, but no chest pain or shortness of breath.",0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I have mild headache but no fever or breathing difficulty.,0
I had a cold with mild cough but recovered without complications.,0
CT scan shows bilateral interstitial lung involvement.,2
Routine checkup shows no signs of pneumonia despite nasal congestion.,0
I have low grade fever with dry cough and shortness of breath for more than two weeks.,2
I have progressively worsening with purulent sputum and normal oxygen saturation.,1
Routine checkup shows no signs of pneumonia despite mild cough.,0
I have severe condition with purulent sputum and reduced oxygen levels.,1
Routine checkup shows no signs of pneumonia despite throat irritation.,0
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
"I feel unwell with body aches, but no chest pain or shortness of breath.",0
There is occasional cough due to allergy but no lung infection.,0
I have mild symptoms with purulent sputum and normal oxygen saturation.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Sharp chest pain with high fever and productive cough was noted.,1
There is occasional cough due to allergy but no lung infection.,0
I have mild symptoms with purulent sputum and low SpO2 readings.,1
I have mild symptoms with dry cough and reduced oxygen levels.,2
I had a cold with body aches but recovered without complications.,0
I had a cold with seasonal allergies but recovered without complications.,0
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
"I feel tired with headache, but oxygen levels are normal.",0
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
Symptoms started after flu-like illness with worsening breathlessness.,2
Sharp chest pain with high fever and productive cough was noted.,1
I have mild runny nose but no fever or breathing difficulty.,0
Symptoms started after flu-like illness with worsening breathlessness.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
CT scan shows bilateral interstitial lung involvement.,2
There is occasional cough due to allergy but no lung infection.,0
CT scan shows bilateral interstitial lung involvement.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
I have mild headache but no fever or breathing difficulty.,0
I have high fever with chills and productive cough producing yellow sputum for several days.,1
Symptoms progressed gradually with mild fever and breathlessness.,2
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
I have high fever with chills and productive cough producing yellow sputum for nearly ten days.,1
I have progressively worsening with purulent sputum and oxygen saturation below normal.,1
Symptoms progressed gradually with mild fever and breathlessness.,2
There is severe chest pain with localized lung consolidation and high fever.,1
Sharp chest pain with high fever and productive cough was noted.,1
There is severe chest pain with localized lung consolidation and high fever.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
Symptoms started after flu-like illness with worsening breathlessness.,2
CT scan shows bilateral interstitial lung involvement.,2
I have progressively worsening with dry cough and reduced oxygen levels.,2
I have mild nasal congestion but no fever or breathing difficulty.,0
There is occasional cough due to allergy but no lung infection.,0
CT scan shows bilateral interstitial lung involvement.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
Routine checkup shows no signs of pneumonia despite runny nose.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
I have high fever with chills and productive cough producing yellow sputum for several days.,1
I have low grade fever with dry cough and shortness of breath for more than two weeks.,2
I have high fever with chills and productive cough producing yellow sputum for several days.,1
CT scan shows bilateral interstitial lung involvement.,2
"I feel tired with body aches, but oxygen levels are normal.",0
CT scan shows bilateral interstitial lung involvement.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
I have high fever with chills and productive cough producing yellow sputum for more than two weeks.,1
I had a cold with runny nose but recovered without complications.,0
"I feel tired with nasal congestion, but oxygen levels are normal.",0
Blood tests suggest bacterial infection along with lung consolidation.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I have low grade fever with dry cough and shortness of breath for several days.,2
I have high fever with chills and productive cough producing yellow sputum for more than two weeks.,1
Blood tests suggest bacterial infection along with lung consolidation.,1
I have acute presentation with dry cough and normal oxygen saturation.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
I have progressively worsening with purulent sputum and low SpO2 readings.,1
I have moderate symptoms with dry cough and normal oxygen saturation.,2
I had a cold with throat irritation but recovered without complications.,0
Routine checkup shows no signs of pneumonia despite nasal congestion.,0
There is severe chest pain with localized lung consolidation and high fever.,1
Routine checkup shows no signs of pneumonia despite headache.,0
I had a cold with mild cough but recovered without complications.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
I have mild body aches but no fever or breathing difficulty.,0
I have progressively worsening with purulent sputum and normal oxygen saturation.,1
Symptoms progressed gradually with mild fever and breathlessness.,2
CT scan shows bilateral interstitial lung involvement.,2
Chest imaging shows interstitial infiltrates with dry cough.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I am experiencing sudden onset of symptoms including high fever and thick sputum.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
"I feel tired with nasal congestion, but oxygen levels are normal.",0
Blood tests suggest bacterial infection along with lung consolidation.,1
"I am experiencing runny nose and fatigue, but chest X-ray is normal.",0
Chest imaging shows interstitial infiltrates with dry cough.,2
I developed breathing difficulty following a viral illness.,2
I have mild runny nose but no fever or breathing difficulty.,0
Chest X-ray shows lobar consolidation with productive cough and fever.,1
I have mild symptoms with purulent sputum and low SpO2 readings.,1
Chest imaging shows interstitial infiltrates with dry cough.,2
"I am experiencing seasonal allergies and fatigue, but chest X-ray is normal.",0
Sharp chest pain with high fever and productive cough was noted.,1
"I am experiencing nasal congestion and fatigue, but chest X-ray is normal.",0
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
I have mild seasonal allergies but no fever or breathing difficulty.,0
There is severe chest pain with localized lung consolidation and high fever.,1
Symptoms started after flu-like illness with worsening breathlessness.,2
Sharp chest pain with high fever and productive cough was noted.,1
Symptoms progressed gradually with mild fever and breathlessness.,2
I have severe condition with purulent sputum and reduced oxygen levels.,1
Sharp chest pain with high fever and productive cough was noted.,1
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
CT scan shows bilateral interstitial lung involvement.,2
"I feel tired with headache, but oxygen levels are normal.",0
Chest imaging shows interstitial infiltrates with dry cough.,2
I have mild runny nose but no fever or breathing difficulty.,0
Chest imaging shows interstitial infiltrates with dry cough.,2
Sharp chest pain with high fever and productive cough was noted.,1
I have mild seasonal allergies but no fever or breathing difficulty.,0
Routine checkup shows no signs of pneumonia despite nasal congestion.,0
Sharp chest pain with high fever and productive cough was noted.,1
CT scan shows bilateral interstitial lung involvement.,2
Symptoms progressed gradually with mild fever and breathlessness.,2
I had a cold with headache but recovered without complications.,0
I had a cold with nasal congestion but recovered without complications.,0
Routine checkup shows no signs of pneumonia despite mild cough.,0
CT scan shows bilateral interstitial lung involvement.,2
"I feel unwell with headache, but no chest pain or shortness of breath.",0
I have mild seasonal allergies but no fever or breathing difficulty.,0
There is severe chest pain with localized lung consolidation and high fever.,1
I developed breathing difficulty following a viral illness.,2
"I am experiencing runny nose and fatigue, but chest X-ray is normal.",0
Chest imaging shows interstitial infiltrates with dry cough.,2
I have mild symptoms with dry cough and normal oxygen saturation.,2
Blood tests suggest bacterial infection along with lung consolidation.,1
Sharp chest pain with high fever and productive cough was noted.,1
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
"I feel tired with body aches, but oxygen levels are normal.",0
CT scan shows bilateral interstitial lung involvement.,2
I have severe condition with dry cough and low SpO2 readings.,2
I have low grade fever with dry cough and shortness of breath for nearly ten days.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
My condition worsened rapidly with bacterial infection signs and breathing difficulty.,1
I have mild symptoms with dry cough and oxygen saturation below normal.,2
I have mild symptoms with purulent sputum and oxygen saturation below normal.,1
I have low grade fever with dry cough and shortness of breath for the past two days.,2
There is diffuse lung involvement with fatigue and viral infection symptoms.,2
